"ext","category","description","product","is_project"
gdbtable  ,geography                                                                                                                                                                                                                                                      ,ESRI GeoDatabase  (Business Table/Raster Table),ArcGIS                                                                                                                                                                                                                                                         ,
gdbtablx  ,geography                                                                                                                                                                                                                                                      ,ESRI GeoDatabase  table Index,ArcGIS                                                                                                                                                                                                                                                         ,
gdf       ,geography                                                                                                                                                                                                                                                      ,Hierarchical Data Format,,
ggf       ,geography                                                                                                                                                                                                                                                      ,Geosoft Binary Grid,,
gif       ,image                                                                                                                                                                                                                                                          ,GIF Image,,
gml       ,geography                                                                                                                                                                                                                                                      ,GML file,,
grd       ,geology                                                                                                                                                                                                                                                        ,Surfer ASCII,,
gzip      ,archive                                                                                                                                                                                                                                                        ,[rfc:1952 GZIP],,
h         ,programming                                                                                                                                                                                                                                                    ,C plus plus header file,,
hdr       ,geography                                                                                                                                                                                                                                                      ,GTOPO-30,,
hgt       ,geography                                                                                                                                                                                                                                                      ,SRTM Elevation Data,,
hip       ,programming                                                                                                                                                                                                                                                    ,Help File,,
htm       ,web                                                                                                                                                                                                                                                            ,html document,,
html      ,web                                                                                                                                                                                                                                                            ,html document,,
ibm       ,image                                                                                                                                                                                                                                                          ,IFF Interleaved Bitmap Image,,
ico       ,image                                                                                                                                                                                                                                                          ,Computer icon encoded in ICO file format,,
iff       ,image                                                                                                                                                                                                                                                          ,IFF Interleaved Bitmap Image,,
igd       ,geology                                                                                                                                                                                                                                                        ,Text file format,,
igd       ,geography                                                                                                                                                                                                                                                      , Isoline Grid Data,Izoline                                                                                                                                                                                                                                                        ,
ilbm      ,image                                                                                                                                                                                                                                                          ,IFF Interleaved Bitmap Image,,
imap      ,geography                                                                                                                                                                                                                                                      ,INGEOS,,
img       ,geography                                                                                                                                                                                                                                                      ,ERDAS Imagine,,
imp       ,geography                                                                                                                                                                                                                                                      ,Isoline,,
imp       ,geography                                                                                                                                                                                                                                                      , Isoline Map Project,Izoline                                                                                                                                                                                                                                                        ,
ipr       ,geography                                                                                                                                                                                                                                                      ,Isoline,Izoline                                                                                                                                                                                                                                                        ,Project File                                                                                                                                                                                                                                                   
irap      ,geology                                                                                                                                                                                                                                                        ,IRAP ASCII,,
isl       ,geography                                                                                                                                                                                                                                                      , Isoline Layer File,Izoline                                                                                                                                                                                                                                                        ,
iso       ,archive                                                                                                                                                                                                                                                        ,ISO File,,
itb       ,geography                                                                                                                                                                                                                                                      , Isoline Table Data,Izoline                                                                                                                                                                                                                                                        ,
itq       ,geography                                                                                                                                                                                                                                                      , Isoline Table Query file ,Izoline                                                                                                                                                                                                                                                        ,
iwc       ,geography                                                                                                                                                                                                                                                      , Isoline Well Correlation (Схемы корреляций),Izoline                                                                                                                                                                                                                                                        ,
j2000     ,image                                                                                                                                                                                                                                                          ,JPEG-2000 Bitmap,,
java      ,programming                                                                                                                                                                                                                                                    ,Java,,
jk2       ,image                                                                                                                                                                                                                                                          ,JPEG-2000 Bitmap,,
jp2       ,image                                                                                                                                                                                                                                                          ,JPEG-2000 Bitmap,,
jpc       ,image                                                                                                                                                                                                                                                          ,JPEG-2000 Bitmap,,
jpeg      ,image                                                                                                                                                                                                                                                          ,JPEG File format,,
jpeg2000  ,image                                                                                                                                                                                                                                                          ,JPEG-2000 Bitmap,,
jpg       ,image                                                                                                                                                                                                                                                          ,JPEG File format,,
js        ,programming                                                                                                                                                                                                                                                    ,JavaScript,,
json      ,text                                                                                                                                                                                                                                                           ,JSON format,,
kml       ,geography                                                                                                                                                                                                                                                      ,Google Earth format,,
kmz       ,geography                                                                                                                                                                                                                                                      ,Google Earth format,,
las       ,geology                                                                                                                                                                                                                                                        ,LAS format,,
lbm       ,image                                                                                                                                                                                                                                                          ,IFF Interleaved Bitmap Image,,
lin       ,geology                                                                                                                                                                                                                                                        ,Text file format,,
